,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W,L,W/L%,PS/G,PA/G,Conference,PTS_rolling_avg,ORB_rolling_avg,DRB_rolling_avg,AST_rolling_avg,3P_rolling_avg,3PA_rolling_avg,STL_rolling_avg,BLK_rolling_avg,Point_Differential,win_ratio_trend
40,Los Angeles Lakers,82,243.7,41.6,88.8,0.469,12.0,34.5,0.347,29.7,54.3,0.546,16.8,23.0,0.732,9.5,34.5,44.0,24.0,7.6,5.2,14.5,20.2,112.1,2022,33,49,0.402,112.1,115.1,West,110.8,9.6,34.55,24.35,11.55,32.85,7.699999999999999,5.300000000000001,-3.0,-0.1809999999999999
41,Boston Celtics,82,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17.0,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,2022,51,31,0.622,111.8,104.5,East,112.2,10.55,34.55,24.15,13.4,36.75,7.45,5.55,7.299999999999997,0.122
42,Chicago Bulls,82,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,2022,46,36,0.561,111.6,112.0,East,111.15,9.15,34.5,25.35,11.6,31.4,6.9,4.15,-0.4000000000000057,0.13
43,Indiana Pacers,82,242.4,41.4,89.5,0.463,12.2,35.4,0.344,29.3,54.1,0.541,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5,2022,25,57,0.305,111.5,114.9,East,113.4,10.15,33.150000000000006,26.4,12.25,34.7,7.8,6.0,-3.4000000000000057,-0.1669999999999999
44,Golden State Warriors,82,240.6,40.5,86.4,0.469,14.3,39.4,0.364,26.2,47.0,0.557,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,111.0,2022,53,29,0.646,111.0,105.5,West,112.35,8.9,35.400000000000006,27.4,14.45,39.05,8.5,4.65,5.5,0.1039999999999999
45,Sacramento Kings,82,241.5,40.5,88.1,0.46,11.4,33.2,0.344,29.1,54.9,0.53,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,2022,30,52,0.366,110.3,115.8,West,112.0,9.5,32.7,24.6,11.75,33.25,7.35,4.75,-5.5,-0.065
46,Miami Heat,82,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26.0,49.0,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0,2022,53,29,0.646,110.0,105.6,East,109.05,8.9,33.7,25.9,13.25,36.0,7.65,3.6,4.400000000000006,0.0899999999999999
47,Philadelphia 76ers,82,241.5,39.4,84.5,0.466,11.6,31.8,0.364,27.8,52.7,0.527,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,2022,51,31,0.622,109.9,107.3,East,111.75,9.25,34.4,23.7,11.45,30.950000000000003,8.4,5.75,2.6000000000000085,-0.059
48,Houston Rockets,82,240.9,39.4,86.4,0.456,13.5,38.7,0.349,25.9,47.7,0.543,17.5,24.5,0.713,9.6,32.4,42.0,23.6,7.3,4.7,16.5,20.6,109.7,2022,20,62,0.244,109.7,118.2,West,109.25,9.45,32.849999999999994,23.6,13.65,39.650000000000006,7.449999999999999,4.85,-8.5,0.008
49,Toronto Raptors,82,242.1,40.6,91.3,0.445,11.9,34.2,0.349,28.7,57.1,0.503,16.2,21.3,0.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,2022,48,34,0.585,109.4,107.1,East,110.35,11.4,32.05,23.1,13.2,36.75,8.8,5.0,2.300000000000012,0.2099999999999999
50,New Orleans Pelicans,82,240.9,40.2,88.0,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,2022,36,46,0.439,109.3,110.3,West,111.95,11.85,34.45,25.5,10.6,31.25,7.95,4.2,-1.0,0.008
51,Washington Wizards,82,241.8,40.6,86.0,0.472,10.5,30.6,0.342,30.1,55.4,0.543,17.0,21.7,0.783,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6,2022,35,47,0.427,108.6,112.0,East,112.6,9.35,34.8,25.25,10.35,29.8,6.85,4.55,-3.4000000000000057,-0.0449999999999999
52,Los Angeles Clippers,82,241.2,40.1,87.4,0.458,12.8,34.2,0.374,27.3,53.3,0.512,15.5,19.6,0.793,9.1,34.9,44.0,24.0,7.4,5.0,13.7,18.6,108.4,2022,42,40,0.512,108.4,108.4,West,111.2,9.25,34.8,24.2,13.55,34.45,7.25,4.55,0.0,-0.141
53,Dallas Mavericks,82,240.9,39.3,85.1,0.461,13.1,37.4,0.35,26.2,47.8,0.548,16.4,21.2,0.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,2022,52,30,0.634,108.0,104.7,West,110.2,9.2,34.0,23.15,13.45,37.75,6.5,4.15,3.299999999999997,0.051
54,Cleveland Cavaliers,82,240.6,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8,2022,44,38,0.537,107.8,105.7,East,105.8,10.3,33.15,24.5,10.8,31.25,7.449999999999999,4.35,2.0999999999999943,0.231
55,New York Knicks,82,241.2,37.7,86.2,0.437,13.2,36.9,0.357,24.5,49.3,0.497,18.0,24.1,0.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,2022,37,45,0.451,106.5,106.6,East,106.75,10.6,35.05,21.65,12.5,33.45,7.0,5.0,-0.0999999999999943,-0.1179999999999999
56,Portland Trail Blazers,82,240.6,38.5,87.1,0.442,12.7,36.8,0.346,25.8,50.3,0.513,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2,2022,27,55,0.329,106.2,115.1,West,111.15,10.5,33.2,22.1,14.2,38.8,7.45,4.75,-8.899999999999991,-0.2539999999999999
57,Detroit Pistons,82,241.2,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54.0,0.498,17.2,22.0,0.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8,2022,23,59,0.28,104.8,112.5,East,105.7,10.3,32.55,23.85,11.45,33.75,7.550000000000001,5.0,-7.700000000000003,0.002
58,Orlando Magic,82,241.2,38.3,88.3,0.434,12.2,36.9,0.331,26.1,51.4,0.507,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,2022,22,60,0.268,104.2,112.2,East,104.1,9.75,35.150000000000006,22.75,11.55,34.35,6.85,4.45,-8.0,-0.0239999999999999
